文件名称,文件大小,文件类型,文件最后修改时间,文件所在目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录
Teld.Core.HSF.DAC.pdb,101888,.pdb,2020/9/1 9:14:28,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
Teld.Core.HSF.EventNotify.dll,20992,.dll,2020/9/1 9:14:28,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
Teld.Core.HSF.EventNotify.pdb,44544,.pdb,2020/9/1 9:14:28,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
Teld.Core.HSF.Monitor.dll,33280,.dll,2020/9/1 9:14:32,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
Teld.Core.HSF.Monitor.pdb,54784,.pdb,2020/9/1 9:14:32,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
Teld.Core.HSF.Provider.dll,65024,.dll,2020/9/1 9:14:38,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
Teld.Core.HSF.Provider.pdb,171520,.pdb,2020/9/1 9:14:38,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
Teld.Core.HSF.ProviderDAC.dll,5120,.dll,2020/9/1 9:14:33,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
Teld.Core.HSF.ProviderDAC.pdb,13824,.pdb,2020/9/1 9:14:33,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
Teld.Core.HSF.Register.dll,41472,.dll,2020/9/1 9:14:36,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
Teld.Core.HSF.Register.pdb,103936,.pdb,2020/9/1 9:14:36,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
Teld.Core.HSF.RegisterDAC.dll,16384,.dll,2020/9/1 9:14:33,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
Teld.Core.HSF.RegisterDAC.pdb,44544,.pdb,2020/9/1 9:14:33,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
Teld.Core.HSF.Service.dll,77312,.dll,2020/9/1 9:14:34,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
Teld.Core.HSF.Service.pdb,196096,.pdb,2020/9/1 9:14:34,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
Teld.Core.HSF.Service.xml,8728,.xml,2020/9/1 9:14:34,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
Teld.Core.HSF.ServiceDAC.dll,4608,.dll,2020/9/1 9:14:32,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
Teld.Core.HSF.ServiceDAC.pdb,11776,.pdb,2020/9/1 9:14:32,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
Teld.Core.HSF.SPI.dll,49152,.dll,2020/9/1 9:14:17,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
Teld.Core.HSF.SPI.pdb,157184,.pdb,2020/9/1 9:14:17,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
Teld.Core.HSF.Statistic.dll,11776,.dll,2020/9/1 9:14:28,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
Teld.Core.HSF.Statistic.pdb,24064,.pdb,2020/9/1 9:14:28,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
Teld.Core.RequestProxy.Service.dll,68608,.dll,2020/9/1 11:40:10,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
Teld.Core.RequestProxy.Service.pdb,261632,.pdb,2020/9/1 11:40:10,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
TeldHost.exe,316416,.exe,2020/9/1 9:14:41,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
TeldHost.pdb,65024,.pdb,2020/9/1 9:14:41,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
HSFService.2.4.0.6.nupkg,506286,.nupkg,2020/9/3 22:58:51,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901\HSFService.2.4.0.6,HSF20200901,HSFService.2.4.0.6,,,,,,,,,,
HSFService.2.4.0.7.nupkg,506287,.nupkg,2020/9/3 22:58:57,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901\HSFService.2.4.0.6,HSF20200901,HSFService.2.4.0.6,,,,,,,,,,
Scs.dll,133632,.dll,2020/9/3 22:57:11,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901\HSFService.2.4.0.6\lib\net451,HSF20200901,HSFService.2.4.0.6,lib,net451,,,,,,,,
Scs.pdb,394752,.pdb,2020/9/3 22:57:11,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901\HSFService.2.4.0.6\lib\net451,HSF20200901,HSFService.2.4.0.6,lib,net451,,,,,,,,
Scs.xml,183367,.xml,2020/9/3 22:57:11,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901\HSFService.2.4.0.6\lib\net451,HSF20200901,HSFService.2.4.0.6,lib,net451,,,,,,,,
Teld.Core.HSF.Cluster.dll,34304,.dll,2020/9/3 22:57:10,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901\HSFService.2.4.0.6\lib\net451,HSF20200901,HSFService.2.4.0.6,lib,net451,,,,,,,,
Teld.Core.HSF.Cluster.pdb,58880,.pdb,2020/9/3 22:57:10,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901\HSFService.2.4.0.6\lib\net451,HSF20200901,HSFService.2.4.0.6,lib,net451,,,,,,,,
Teld.Core.HSF.DAC.dll,56320,.dll,2020/9/3 22:57:11,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901\HSFService.2.4.0.6\lib\net451,HSF20200901,HSFService.2.4.0.6,lib,net451,,,,,,,,
Teld.Core.HSF.DAC.pdb,101888,.pdb,2020/9/3 22:57:11,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901\HSFService.2.4.0.6\lib\net451,HSF20200901,HSFService.2.4.0.6,lib,net451,,,,,,,,
Teld.Core.HSF.EventNotify.dll,20992,.dll,2020/9/3 22:57:11,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901\HSFService.2.4.0.6\lib\net451,HSF20200901,HSFService.2.4.0.6,lib,net451,,,,,,,,
